Judul Posisi;Nama Perusahaan;Lokasi;Tipe Pekerjaan;Pengalaman;Pendidikan;Gaji;Tanggal Posting;Keyword
Graphic Designer;MKY CLOTHING;Bandung, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Graphic DesignerRp 2,5 jt-3 jt;8 hari yang lalu;Graphic Designer
Graphic Designer;Nyai Mercon;Kab. Garut, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerRp 3 jt-4,5 jt;9 hari yang lalu;Graphic Designer
Graphic Designer;Pasar Padel - Darylane W***;Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Graphic DesignerRp 2 jt-3 jt;9 hari yang lalu;Graphic Designer
Graphic Designer;The Loud Minority Communication;Kab. Tangerang, Banten;Remote/Dari rumah;Freelance;1–3 tahun;Graphic DesignerGaji Tidak Ditampilkan;6 hari yang lalu;Graphic Designer
Graphic Designer;PT Digital Fajar Buana;Jakarta Selatan, DKI Jakarta;Hybrid;Penuh Waktu;5–10 tahun;Graphic DesignerRp 5,5 jt-7 jt;3 hari yang lalu;Graphic Designer
Graphic Designer;PURA Indonesia;Surabaya, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerGaji Tidak Ditampilkan;5 hari yang lalu;Graphic Designer
Graphic Designer;PT IFA ABDUL ROZAQ;Bandung, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Graphic DesignerRp 2,5 jt-3 jt;16 hari yang lalu;Graphic Designer
Motion Graphic Designer Internship;Alamii Food;Jakarta Barat, DKI Jakarta;Magang;Minimal Sarjana (S1);Video Editing;Motion Graphic Designer InternshipGaji Tidak Ditampilkan;10 hari yang lalu;Graphic Designer
Graphic Designer;Pt. Modiva International;Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerRp 7 jt-7,5 jt;2 hari yang lalu;Graphic Designer
Graphic Designer;PT. Karya Kolektif Indonesia;Bandung, Jawa Barat;Kontrak;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerRp 2,5 jt-3,5 jt;3 jam yang lalu;Graphic Designer
Graphic Designer;CV. Indo Karya Group (Evernext);Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerGaji Tidak Ditampilkan;8 hari yang lalu;Graphic Designer
Graphic Designer;PT. Wakaka Group Indonesia;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerGaji Tidak Ditampilkan;8 hari yang lalu;Graphic Designer
Intern UX/UI Design;Công ty Cổ Phần Chuỗi Bán Lẻ Mini Min;Quận Thủ Đức, Vietnam;Penuh Waktu;Minimal Sarjana (S1);UX Design;Intern UX/UI Design₫ 1-5 jt;Kemarin;Web Designer
UX/UI Designer Intern;Moniq Tap;Quận Chín, Vietnam;Magang;Minimal Sarjana (S1);Graphic Design;UX/UI Designer Intern₫ 2,5-4 jt;23 hari yang lalu;Web Designer
UX/UI Designer Intern;TMA Solutions;Quận Mười Hai, Vietnam;Magang;Minimal Sarjana (S1);Figma;UX/UI Designer InternGaji Tidak Ditampilkan;10 hari yang lalu;Web Designer
Senior UX/UI Designer;Beyond Creative agency;Quận Hai, Vietnam;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Senior UX/UI Designer₫ 15-25 jt;3 jam yang lalu;Web Designer
Web UI/UX Designer;PT Tonjoo Gagas Teknologi;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Web UI/UX DesignerRp 3 jt-4 jt;Kemarin;Web Designer
Web UI/UX Designer;PT Mulia Cipta Indonesia;Jakarta Barat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Web UI/UX DesignerRp 4 jt-6 jt;21 hari yang lalu;Web Designer
Web UI/UX Designer;CÔNG TY TNHH TMT SEN VÀNG VIỆT NAM;Quận Thủ Đức, Vietnam;Penuh Waktu;3–5 tahun;Minimal College Degree;Web UI/UX Designer₫ 15-21 jt;8 hari yang lalu;Web Designer
Desainer UI/UX;Yasa Nusa Talenta;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Desainer UI/UXRp 7 jt-21 jt;7 hari yang lalu;Web Designer
Desainer UI/UX;Pickolab Studio;Semarang, Jawa Tengah;Hybrid;Kontrak;1–3 tahun;Desainer UI/UXRp 3 jt-3,5 jt;6 hari yang lalu;Web Designer
Desainer UI/UX;PT Indoparts Mobile Phones;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Desainer UI/UXRp 5 jt-6,5 jt;5 hari yang lalu;Web Designer
Middle UX/UI Designer( Product Mindset);Công ty TNHH Diksha Technologies;Quận Cầu Giấy, Vietnam;Penuh Waktu;3–5 tahun;Minimal College Degree;Middle UX/UI Designer( Product Mindset)₫ 28-32 jt;17 hari yang lalu;Web Designer
UI/UX Designer;PT Neural Technologies Indonesia (Official);Jakarta Selatan, DKI Jakarta;Hybrid;Kontrak;3–5 tahun;UI/UX DesignerGaji Tidak Ditampilkan;18 menit yang lalu;Web Designer
UI/UX Designer;Ngonten Box;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 4 jt-6 jt;24 hari yang lalu;Web Designer
Desainer UI/UX;PT Teknologi Govirtual Indonesia;Jakarta Selatan, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Desainer UI/UXRp 5,5 jt-7 jt;2 hari yang lalu;Web Designer
UI/UX Designer;PT Mediatechindo;Yogyakarta, DI Yogyakarta;Remote/Dari rumah;Penuh Waktu;3–5 tahun;UI/UX DesignerRp 3 jt-4 jt;7 hari yang lalu;Web Designer
UI/UX Designer;Uprint.id;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerGaji Tidak Ditampilkan;25 hari yang lalu;Web Designer
Desainer UI/UX;Pt Jari Solusi International;Jakarta Selatan, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Desainer UI/UXRp 3,6 jt-5,4 jt;13 hari yang lalu;Web Designer
Chuyên Viên UX/UI;CT Group Việt Nam;Quận Ba, Vietnam;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Chuyên Viên UX/UI₫ 20-25 jt;16 hari yang lalu;Web Designer
Graphic & UI/UX Designer;PT Vylera Labs Indonesia;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic & UI/UX DesignerGaji Tidak Ditampilkan;22 hari yang lalu;Web Designer
UI/UX Desainer;CV Armas Surya Cemerlang;Jakarta Pusat, DKI Jakarta;Remote/Dari rumah;Penuh Waktu;1–3 tahun;UI/UX DesainerRp 3 jt-5 jt;6 hari yang lalu;Web Designer
UI/UX Designer;PT Persada Duta Beliton (Persada Indonesia Brand);Surabaya, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 3,8 jt-4 jt;3 hari yang lalu;Web Designer
UI/UX Designer Intern;PT MITRA BERKAT DIGITAL;Jakarta Pusat, DKI Jakarta;Magang;1–3 tahun;Minimal Sarjana (S1);UI/UX Designer InternGaji Tidak Ditampilkan;9 hari yang lalu;Web Designer
UI/UX Designer;LabMu;Yogyakarta, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 3,5 jt-4 jt;30 hari yang lalu;Web Designer
UI/UX Designer;Dzt Corp;Quận Nam Từ Liêm, Vietnam;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerGaji Tidak Ditampilkan;2 hari yang lalu;Web Designer
Senior UX/UI Designer Fulltime Salary Upto 25M;Công ty TNHH Insights;Quận Hai Bà Trưng, Vietnam;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Senior UX/UI Designer Fulltime Salary Upto 25M₫ 15-25 jt;6 hari yang lalu;Web Designer
UI/UX Designer;CÔNG TY TNHH IA-DATA TECH VIETNAM;Quận Chín, Vietnam;Penuh Waktu;1–3 tahun;Minimal College Degree;UI/UX DesignerGaji Tidak Ditampilkan;2 jam yang lalu;Web Designer
UI/UX Designer;Konten.com;Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 5 jt-8 jt;9 hari yang lalu;Web Designer
UI/UX Designer;PT Reka Multi Aptika;Jakarta Pusat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 5 jt-9 jt;7 hari yang lalu;Web Designer
UI/UX Designer;PT Nextgen Inovasi Indonesia;Jakarta Selatan, DKI Jakarta;Kontrak;3–5 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 6 jt-8 jt;10 hari yang lalu;Web Designer
UI/UX Designer;PT Sellerpintar Digital Asia;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 2,6 jt-2,6 jt;3 hari yang lalu;Web Designer
IT Staff / IT Support;PT. DKV PRINTING INDONESIA;Kab. Kendal, Jawa Tengah;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);IT Staff / IT SupportRp 3,7 jt-4,2 jt;7 hari yang lalu;IT Support
Information Technology (IT) Staff;PT Lead Geeks Indonesia;Salatiga, Jawa Tengah;Remote/Dari rumah;Penuh Waktu;1–3 tahun;Information Technology (IT) StaffRp 2,9 jt-3,5 jt;12 hari yang lalu;IT Support
IT Manager;PT SINAR KREASI JAYA;Tangerang, Banten;Penuh Waktu;5–10 tahun;Minimal Sarjana (S1);IT ManagerGaji Tidak Ditampilkan;9 hari yang lalu;IT Support
IT Supervisor;GoFleet by Astra & Gojek;Jakarta Selatan, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);IT SupervisorRp 10 jt-13 jt;23 hari yang lalu;IT Support
IT Support Engineer;PT Sinergy Informasi Pratama;Jakarta Barat, DKI Jakarta;Kontrak;1–3 tahun;Minimal SMA/SMK;IT Support EngineerRp 556 jt-667 jt;7 hari yang lalu;IT Support
IT Developer;PT SINERGI DISTRIBUSI UTAMA;Kab. Tulungagung, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT DeveloperRp 2 jt-2,5 jt;2 hari yang lalu;IT Support
IT PROGRAMMER;Pt Usaha Saudara Mandiri;Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);IT PROGRAMMERGaji Tidak Ditampilkan;7 hari yang lalu;IT Support
IT Programmer;Pandu Hotel;Kab. Lombok Tengah, Nusa Tenggara Barat;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT ProgrammerRp 1 jt-2,5 jt;4 menit yang lalu;IT Support
IT PROGRAMMER;PT Rajawali Lintas Samudera;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT PROGRAMMERGaji Tidak Ditampilkan;25 hari yang lalu;IT Support
IT Support Engineer;Bisnis Adviz Solusi;Jakarta Pusat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT Support EngineerRp 5,7 jt-6,5 jt;7 hari yang lalu;IT Support
IT Support Engineer;PT Venturium System Indonesia;Jakarta Timur, DKI Jakarta;Penuh Waktu;Minimal Diploma (D1 - D4);Customer Service;IT Support EngineerGaji Tidak Ditampilkan;16 hari yang lalu;IT Support
IT Support Engineer;Cv Global Print & Copy Center;Jakarta Selatan, DKI Jakarta;Penuh Waktu;Minimal SMA/SMK;Remote Support;IT Support EngineerRp 3,5 jt-4 jt;17 hari yang lalu;IT Support
IT Support Engineer;PT Inovasi Logika Digital;Medan, Sumatera Utara;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;IT Support EngineerRp 2 jt-2,5 jt;18 hari yang lalu;IT Support
IT Manager;CV RAJAWALI CELLULAR;Jakarta Pusat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);IT ManagerRp 13 jt-15 jt;4 jam yang lalu;IT Support
IT PROGRAMMER;PT. Tanto Intim Line;Surabaya, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT PROGRAMMERRp 5,3 jt-8 jt;3 hari yang lalu;IT Support
IT Manager;Thiqla;Bandung, Jawa Barat;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);IT ManagerGaji Tidak Ditampilkan;16 hari yang lalu;IT Support
IT Manager;Omma Day Club Bali;Kab. Gianyar, Bali;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);IT ManagerRp 10 jt-13 jt;15 hari yang lalu;IT Support
IT Manager;PT Niaga Handal Cemerlang;Bandung, Jawa Barat;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);IT ManagerRp 6 jt-8 jt;28 hari yang lalu;IT Support
IT DEVELOPER;PT Masterko Solusi Servicatama;Jakarta Timur, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);IT DEVELOPERRp 5 jt-6,2 jt;13 hari yang lalu;IT Support
IT Programmer;Unicare Clinic Bali;Denpasar, Bali;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);IT ProgrammerRp 2,5 jt-4 jt;5 hari yang lalu;IT Support
IT Support Engineer;PT Yafira Digital Technology;Kab. Lamongan, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);IT Support EngineerRp 2,5 jt-5 jt;7 hari yang lalu;IT Support
IT Information Technology;PT. FOXIMAS MANDIRI;Bandung, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);IT Information TechnologyRp 3 jt-4 jt;6 hari yang lalu;IT Support
IT (Information Technology);PT BHARA SATYA WASPADA;Kab. Sidoarjo, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT (Information Technology)Gaji Tidak Ditampilkan;10 hari yang lalu;IT Support
IT Supervisor;Dusun Semilir;Kab. Semarang, Jawa Tengah;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT SupervisorRp 4,5 jt-6 jt;6 hari yang lalu;IT Support
IT Supervisor;ADI Consulting;Tangerang Selatan, Banten;Kontrak;5–10 tahun;Minimal Sarjana (S1);IT SupervisorRp 13 jt-18 jt;6 hari yang lalu;IT Support
IT SPV;PT DAIDAN ADITAMA YAKSA;Jakarta Pusat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);IT SPVRp 7 jt-10 jt;14 hari yang lalu;IT Support
IT Support Engineer;Popsnap Photobox Studio;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);IT Support EngineerRp 2,2 jt-3,3 jt;30 hari yang lalu;IT Support
IT Support Engineer;PT Sumber Jaya Industri Oleo;Dumai, Riau;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);IT Support EngineerRp 5 jt-7 jt;7 hari yang lalu;IT Support
IT Developer;PT. Cura Indonesia;Jakarta Selatan, DKI Jakarta;Kontrak;1–3 tahun;Minimal Diploma (D1 - D4);IT DeveloperRp 7 jt-8 jt;3 jam yang lalu;IT Support
IT Programmer;PT. Asietex Sinar Indopratama;Kab. Serang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);IT ProgrammerRp 4,5 jt-5 jt;3 hari yang lalu;IT Support
Technical Support Specialist;PT Dias Naga Alpha;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Technical Support SpecialistRp 3 jt-4 jt;7 hari yang lalu;Technical Support Specialist
Technical Support Specialist;VGLANT;Bandung, Jawa Barat;Hybrid;Penuh Waktu;1–3 tahun;Technical Support SpecialistRp 3 jt-5 jt;19 hari yang lalu;Technical Support Specialist
Tech Lead;Jejak.in;Tangerang Selatan, Banten;Hybrid;Penuh Waktu;3–5 tahun;Tech LeadGaji Tidak Ditampilkan;8 hari yang lalu;Technical Support Specialist
Tech Lead;RMA SOLUSI INDONESIA;Jakarta Selatan, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Tech LeadRp 9 jt-12 jt;6 hari yang lalu;Technical Support Specialist
IT Technical Support Specialist;Vostra Internasional;Bekasi, Jawa Barat;Penuh Waktu;Minimal Diploma (D1 - D4);Help Desk;IT Technical Support SpecialistGaji Tidak Ditampilkan;10 hari yang lalu;Technical Support Specialist
Technical Director (Freelance);MINESKI INDONESIA;Jakarta Barat, DKI Jakarta;Hybrid;Freelance;3–5 tahun;Technical Director (Freelance)Gaji Tidak Ditampilkan;9 hari yang lalu;Technical Support Specialist
Event Technical Director;Seva Marketing;Jakarta Selatan, DKI Jakarta;Hybrid;Kontrak;3–5 tahun;Event Technical DirectorRp 9 jt-11 jt;16 hari yang lalu;Technical Support Specialist
Field Technical Support;Majoo Indonesia;Batam, Kepulauan Riau;Hybrid;Penuh Waktu;1–3 tahun;Field Technical SupportGaji Tidak Ditampilkan;Kemarin;Technical Support Specialist
Technical Support;Rumahweb Indonesia;Kab. Sleman, DI Yogyakarta;Penuh Waktu;Minimal SMA/SMK;Client Services;Technical SupportRp 3 jt;Kemarin;Technical Support Specialist
Technical Support;PT Indo Riau Perkasa;Pekanbaru, Riau;Penuh Waktu;Minimal SMA/SMK;Oil and Gas;Technical SupportRp 3,5 jt-3,9 jt;6 hari yang lalu;Technical Support Specialist
Technical Support;PT Adi Media Expertindo;Surabaya, Jawa Timur;Penuh Waktu;Minimal SMA/SMK;Technical Support;Technical SupportRp 4,7 jt-5,2 jt;5 hari yang lalu;Technical Support Specialist
Technical Support;INDOCART;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Technical SupportRp 4 jt-5 jt;12 hari yang lalu;Technical Support Specialist
Technical Support;PT KODE KOLEKTIF INDONESIA;Yogyakarta, DI Yogyakarta;Penuh Waktu;Minimal Sarjana (S1);Help Desk;Technical SupportRp 2,7 jt-3,3 jt;21 hari yang lalu;Technical Support Specialist
Technical Support;PT. Maxplus Indonesia Anugerah;Jakarta Selatan, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Technical SupportRp 3,5 jt;29 hari yang lalu;Technical Support Specialist
Technical Support;PT. Menara Integrasi Indonesia;Kab. Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Technical SupportGaji Tidak Ditampilkan;27 hari yang lalu;Technical Support Specialist
ONSITE TECHNICAL SUPPORT;PT. Dymar Jaya Indonesia;Jakarta Barat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);ONSITE TECHNICAL SUPPORTRp 5 jt-7 jt;Kemarin;Technical Support Specialist
TECHNICAL SUPPORT;PT Bina Informatika Solusi (Fibertrust);Cirebon, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);TECHNICAL SUPPORTRp 2,3 jt-2,9 jt;4 jam yang lalu;Technical Support Specialist
Technical Support;PT Rapid Teknologi Indonesia;Kab. Manokwari, Papua Barat;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Technical SupportRp 3,5 jt-4 jt;Kemarin;Technical Support Specialist
Technical Support;PT. GRIYA SOLUSI SECURINDO;Kab. Sidoarjo, Jawa Timur;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);Technical SupportRp 2,8 jt-4,2 jt;3 hari yang lalu;Technical Support Specialist
Technical Support;Wijaya Mitra Husada;Bekasi, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Technical SupportRp 4 jt-6 jt;7 hari yang lalu;Technical Support Specialist
Technical Support;Dharmajaya Dutakreasi Mandiri;Medan, Sumatera Utara;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Technical SupportRp 3 jt-6 jt;10 hari yang lalu;Technical Support Specialist
Technical Support;PT. Mutiara Bintang Abadi;Malang, Jawa Timur;Penuh Waktu;Minimal SMA/SMK;Teamwork;Technical SupportRp 2,5 jt-3 jt;10 hari yang lalu;Technical Support Specialist
Technical Support;Rasi Bintang Klaten;Kab. Klaten, Jawa Tengah;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Technical SupportGaji Tidak Ditampilkan;15 hari yang lalu;Technical Support Specialist
Technical Support;PT. BREINDO JAYA TEHNIK;Bekasi, Jawa Barat;Kontrak;1–3 tahun;Minimal Diploma (D1 - D4);Technical SupportRp 6 jt-7,5 jt;17 hari yang lalu;Technical Support Specialist
Technical Support;PT. Radika Mersenindo Pratama;Cilegon, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Technical SupportRp 2 jt;29 hari yang lalu;Technical Support Specialist
TECHNICAL SUPPORT;Printmate Bali;Denpasar, Bali;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;TECHNICAL SUPPORTRp 2 jt-3 jt;28 hari yang lalu;Technical Support Specialist
Technical Support;igloo;Denpasar, Bali;Remote/Dari rumah;Penuh Waktu;1–3 tahun;Technical SupportGaji Tidak Ditampilkan;30 hari yang lalu;Technical Support Specialist
Spesialis Technical Support;Puffin Paint;Jakarta Pusat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Spesialis Technical SupportGaji Tidak Ditampilkan;36 menit yang lalu;Technical Support Specialist
TECHNICAL SUPPORT (CUTTING TOOLS SPECIALIST);Sinergi Multi Teknindo;Surakarta, Jawa Tengah;Penuh Waktu;Minimal SMA/SMK;Metal Materials;TECHNICAL SUPPORT (CUTTING TOOLS SPECIALIST)Rp 2 jt-3 jt;21 hari yang lalu;Technical Support Specialist
AI Automation Engineer / Developer;PT Mitra Galang Sejahtera;Jakarta Timur, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);AI Automation Engineer / DeveloperRp 6 jt-8 jt;Kemarin;Game Developer
Mechanical Engineer (Teknisi Mesin);PT BEST PACKAGING TECHNOLOGY;Kab. Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Mechanical Engineer (Teknisi Mesin)Rp 3 jt-4 jt;29 hari yang lalu;Game Developer
Frontend Engineer developer;PT Cakra Tekno Nusantara;Kab. Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Frontend Engineer developerRp 4,6 jt-7 jt;7 hari yang lalu;Game Developer
Java Developer (Eng Good);The Code Talent Co,. Ltd;Quận Nam Từ Liêm, Vietnam;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);Java Developer (Eng Good)₫ 30-45 jt;29 hari yang lalu;Game Developer
Teknisi / Engineer on site data center;PT infomedia Solusi Humanika;Surabaya, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Teknisi / Engineer on site data centerRp 5,6 jt-5,8 jt;2 jam yang lalu;Game Developer
Fullstack Developer Staff;Hartono Elektronika;Surabaya, Jawa Timur;Penuh Waktu;Minimal Sarjana (S1);Django;Fullstack Developer StaffRp 5,3 jt;5 hari yang lalu;Game Developer
Fullstack Developer Specialist;Javamifi;Jakarta Timur, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Fullstack Developer SpecialistRp 5 jt-8,1 jt;Kemarin;Game Developer
Full stack Developer Specialist;PT Mitra Galang Sejahtera;Jakarta Timur, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Full stack Developer SpecialistRp 5 jt-8 jt;3 hari yang lalu;Game Developer
Game Developer;Công Ty Tnhh Anfin;Quận Tân Bình, Vietnam;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Game Developer₫ 20-77 jt;15 hari yang lalu;Game Developer
Roblox Game Developer;PT. Satu Visi Digital;Jakarta Barat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Roblox Game DeveloperGaji Tidak Ditampilkan;3 hari yang lalu;Game Developer
Web Programmer (Fullstack Developer);barantum.com (Barantum CRM Indonesia);Jakarta Barat, DKI Jakarta;Penuh Waktu;Minimal Diploma (D1 - D4);React.js;Web Programmer (Fullstack Developer)Rp 5 jt-7 jt;13 hari yang lalu;Game Developer
Game Developer;PT. Satu Visi Digital;Jakarta Barat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Game DeveloperGaji Tidak Ditampilkan;3 hari yang lalu;Game Developer
ENGINEER STAFF;PT Southern Indonesia;Jakarta Pusat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;ENGINEER STAFFGaji Tidak Ditampilkan;8 hari yang lalu;Game Developer
Engineer Staff;Mahavira System Integra;Jakarta Timur, DKI Jakarta;Kontrak;1–3 tahun;Minimal SMA/SMK;Engineer StaffRp 5,2 jt-5,5 jt;19 hari yang lalu;Game Developer
Roblox Game Developer;UNICTIVE;Jakarta Barat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Roblox Game DeveloperGaji Tidak Ditampilkan;12 hari yang lalu;Game Developer
Teknisi Staff;PT. Arcomega Digital Perkasa;Jakarta Timur, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Teknisi StaffRp 5 jt-5,5 jt;9 hari yang lalu;Game Developer
Teknisi Staff;Travelio;Jakarta Selatan, DKI Jakarta;Kontrak;1–3 tahun;Minimal SMA/SMK;Teknisi StaffRp 3,5 jt-3,6 jt;Kemarin;Game Developer
Unity Game Programmer;Dfactory Visual;Surabaya, Jawa Timur;Penuh Waktu;Minimal Sarjana (S1);Game Development;Unity Game ProgrammerGaji Tidak Ditampilkan;15 hari yang lalu;Game Developer
Chemical Engineer Staff;PT INTER AGRO TECHNOLOGY INDONESIA;Pasuruan, Jawa Timur;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Chemical Engineer StaffRp 4 jt-5,5 jt;16 hari yang lalu;Game Developer
SITE ENGINEER STAFF;PT Texmura;Jakarta Pusat, DKI Jakarta;Penuh Waktu;5–10 tahun;Minimal Sarjana (S1);SITE ENGINEER STAFFGaji Tidak Ditampilkan;22 hari yang lalu;Game Developer
DevOps Engineer;Mobius Digital;Jakarta Pusat, DKI Jakarta;Remote/Dari rumah;Penuh Waktu;3–5 tahun;DevOps EngineerRp 7 jt-20 jt;Kemarin;Game Developer
